Province,MosqueCount
İstanbul,3530
Konya,3238
Ankara,3171
Samsun,2742
Kastamonu,2594
Antalya,2295
Ordu,2119
Şanlıurfa,2086
Diyarbakır,2075
Trabzon,2058
İzmir,1915
Bursa,1776
Manisa,1757
Balıkesir,1677
Erzurum,1618
Giresun,1610
Mersin,1582
Zonguldak,1519
Adana,1474
Van,1422
Kayseri,1396
Sivas,1372
Kahramanmaraş,1351
Sakarya,1338
Çorum,1330
Bolu,1267
Kütahya,1244
Denizli,1228
Kocaeli,1223
Afyonkarahisar,1202
Mardin,1179
Tokat,1173
Sinop,1151
Aydın,1141
Muğla,1092
Hatay,1092
Rize,1087
Gaziantep,1078
Elazığ,1011
Yozgat,987
Malatya,985
Karabük,970
Ağrı,934
Çanakkale,828
Eskişehir,789
Bartın,788
Adıyaman,784
Çankırı,747
Isparta,743
Bitlis,730
Artvin,704
Düzce,685
Amasya,685
Batman,684
Siirt,648
Bingöl,629
Muş,616
Aksaray,609
Erzincan,586
Osmaniye,584
Uşak,572
Gümüşhane,558
Şırnak,552
Tekirdağ,544
Burdur,541
Kars,518
Karaman,513
Nevşehir,509
Kırşehir,502
Hakkari,487
Niğde,439
Bilecik,428
Edirne,406
Kırıkkale,375
Kırklareli,301
Ardahan,280
Bayburt,256
Iğdır,253
Kilis,226
Yalova,168
Tunceli,89
